Colname,Conformity,Continent,Label
Aluminium|natural resource|in ground,Nonconformity,North America,1
Anhydrite|natural resource|in ground,Nonconformity,North America,2
Argon|natural resource|in air,Nonconformity,North America,3
Barium|natural resource|in ground,Nonconformity,North America,4
Basalt|natural resource|in ground,Nonconformity,North America,5
Borax|natural resource|in ground,Acceptable conformity,North America,6
Boron|natural resource|in ground,Nonconformity,North America,7
Bromine|natural resource|in water,Acceptable conformity,North America,8
Cadmium|natural resource|in ground,Nonconformity,North America,9
Calcium|natural resource|in ground,Nonconformity,North America,10
"Carbon dioxide, in air|natural resource|in air",Marginally acceptable conformity,North America,11
"Carbon, organic, in soil or biomass stock|natural resource|in ground",Marginally acceptable conformity,North America,12
Carnallite|natural resource|in water,Nonconformity,North America,13
Cerium|natural resource|in ground,Nonconformity,North America,14
Chromium|natural resource|in ground,Marginally acceptable conformity,North America,15
Chrysotile|natural resource|in ground,Nonconformity,North America,16
"Clay, bentonite|natural resource|in ground",Acceptable conformity,North America,17
"Coal, brown|natural resource|in ground",Nonconformity,North America,18
"Coal, hard|natural resource|in ground",Acceptable conformity,North America,19
Copper|natural resource|in ground,Marginally acceptable conformity,North America,20
Diatomite|natural resource|in ground,Acceptable conformity,North America,21
Dolomite|natural resource|in ground,Nonconformity,North America,22
Dysprosium|natural resource|in ground,Marginally acceptable conformity,North America,23
"Energy, geothermal, converted|natural resource|in ground",Marginally acceptable conformity,North America,24
"Energy, gross calorific value, in biomass|natural resource|biotic",Acceptable conformity,North America,26
"Energy, gross calorific value, in biomass, primary forest|natural resource|biotic",Nonconformity,North America,25
"Energy, kinetic (in wind), converted|natural resource|in air",Nonconformity,North America,27
"Energy, potential (in hydropower reservoir), converted|natural resource|in water",Nonconformity,North America,28
"Energy, solar, converted|natural resource|in air",Nonconformity,North America,29
Erbium|natural resource|in ground,Acceptable conformity,North America,30
Europium|natural resource|in ground,Nonconformity,North America,31
Feldspar|natural resource|in ground,Nonconformity,North America,32
"Fish, demersal, in ocean|natural resource|biotic",Acceptable conformity,North America,33
"Fish, pelagic, in ocean|natural resource|biotic",Marginally acceptable conformity,North America,34
Fluorine|natural resource|in ground,Nonconformity,North America,35
Fluorspar|natural resource|in ground,Nonconformity,North America,36
Gadolinium|natural resource|in ground,Nonconformity,North America,37
Gallium|natural resource|in ground,Nonconformity,North America,38
Gangue|natural resource|in ground,Nonconformity,North America,39
"Gas, mine, off-gas, process, coal mining|natural resource|in ground",Nonconformity,North America,40
"Gas, natural|natural resource|in ground",Nonconformity,North America,41
Gold|natural resource|in ground,Nonconformity,North America,42
Granite|natural resource|in ground,Acceptable conformity,North America,43
Graphite|natural resource|in ground,Acceptable conformity,North America,44
Gypsum|natural resource|in ground,Nonconformity,North America,45
Hafnium|natural resource|in ground,Nonconformity,North America,46
Holmium|natural resource|in ground,Nonconformity,North America,47
Indium|natural resource|in ground,Nonconformity,North America,48
Iodine|natural resource|in water,Marginally acceptable conformity,North America,49
Iron|natural resource|in ground,Nonconformity,North America,50
Kaolinite|natural resource|in ground,Nonconformity,North America,51
Kieserite|natural resource|in ground,Nonconformity,North America,52
